City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Georgetown,MY,2022-05-24 00:33:22,5.4112,100.3354,84.13,88,20,2.3,few clouds
60,Nizhniy Kuranakh,RU,2022-05-24 00:38:39,58.8353,125.4869,47.21,84,100,7.56,light rain
61,Dangriga,BZ,2022-05-24 00:38:40,16.9692,-88.2321,82.31,63,100,13.56,overcast clouds
62,Kavaratti,IN,2022-05-24 00:38:40,10.5669,72.642,82.53,81,96,13.91,overcast clouds
63,Dikson,RU,2022-05-24 00:34:41,73.5069,80.5464,24.85,90,13,10.11,few clouds
64,Bow Island,CA,2022-05-24 00:38:41,49.8668,-111.3684,71.78,18,96,6.91,overcast clouds
65,Avarua,CK,2022-05-24 00:38:41,-21.2078,-159.775,82.45,83,75,2.3,broken clouds
66,Kirakira,SB,2022-05-24 00:38:41,-10.4544,161.9205,84.04,74,96,6.85,overcast clouds
67,Ponferrada,ES,2022-05-24 00:38:42,42.5466,-6.5962,51.22,89,71,1.99,broken clouds
68,Bubaque,GW,2022-05-24 00:38:42,11.2833,-15.8333,77.86,74,6,20.2,clear sky
69,Kodiak,US,2022-05-24 00:33:18,57.79,-152.4072,45.91,87,100,13.8,overcast clouds
70,Bengkulu,ID,2022-05-24 00:38:42,-3.8004,102.2655,80.56,74,64,2.66,broken clouds
71,Hithadhoo,MV,2022-05-24 00:35:48,-0.6,73.0833,83.64,71,93,9.28,overcast clouds
72,Faya,SA,2022-05-24 00:38:43,18.3851,42.4509,69.91,22,1,2.73,clear sky
73,Wamba,NG,2022-05-24 00:38:43,8.9333,8.6,72.16,96,92,1.61,light rain
74,Hilo,US,2022-05-24 00:33:30,19.7297,-155.09,87.28,77,100,13.8,overcast clouds
75,Ambulu,ID,2022-05-24 00:38:44,-8.345,113.6058,80.37,70,33,1.95,scattered clouds
76,Vaini,TO,2022-05-24 00:34:31,-21.2,-175.2,80.76,89,40,5.75,scattered clouds
77,Sokode,TG,2022-05-24 00:38:44,8.9833,1.1333,73.11,94,0,0.0,clear sky
78,Lorengau,PG,2022-05-24 00:35:45,-2.0226,147.2712,86.14,62,80,13.24,broken clouds
79,Cabo San Lucas,MX,2022-05-24 00:34:42,22.8909,-109.9124,84.61,53,0,11.5,clear sky
80,Castro,BR,2022-05-24 00:38:44,-24.7911,-50.0119,50.34,81,3,2.57,clear sky
81,Carnarvon,AU,2022-05-24 00:33:23,-24.8667,113.6333,72.25,54,11,9.31,few clouds
82,Hermanus,ZA,2022-05-24 00:33:22,-34.4187,19.2345,59.94,81,100,10.96,overcast clouds
83,Igarka,RU,2022-05-24 00:33:19,67.4667,86.5833,43.56,86,100,13.82,overcast clouds
84,Tukrah,LY,2022-05-24 00:38:45,32.5341,20.5791,67.57,26,0,3.02,clear sky
85,Paamiut,GL,2022-05-24 00:38:45,61.994,-49.6678,31.08,83,100,13.15,overcast clouds
86,Mahebourg,MU,2022-05-24 00:38:46,-20.4081,57.7,75.25,73,20,10.36,few clouds
87,Coihaique,CL,2022-05-24 00:34:22,-45.5752,-72.0662,35.55,87,100,8.05,light rain
88,Babra,IN,2022-05-24 00:38:46,21.85,71.3,82.29,68,79,14.0,broken clouds
89,Bhadasar,IN,2022-05-24 00:38:46,28.2833,74.3167,77.83,59,0,15.57,clear sky
90,Halifax,CA,2022-05-24 00:37:09,44.6453,-63.5724,50.0,79,99,6.91,overcast clouds
91,Thompson,CA,2022-05-24 00:34:35,55.7435,-97.8558,51.96,40,40,16.11,scattered clouds
92,Kruisfontein,ZA,2022-05-24 00:38:47,-34.0033,24.7314,55.17,79,9,3.4,clear sky
93,Khandyga,RU,2022-05-24 00:33:28,62.6667,135.6,55.89,47,52,8.75,broken clouds
94,Hualmay,PE,2022-05-24 00:38:47,-11.0964,-77.6139,64.15,85,0,10.56,clear sky
95,Kaitangata,NZ,2022-05-24 00:39:47,-46.2817,169.8464,51.6,86,100,13.73,overcast clouds
96,Chhuikhadan,IN,2022-05-24 00:39:48,21.5333,80.9833,86.22,36,44,2.89,scattered clouds
97,Geraldton,AU,2022-05-24 00:39:48,-28.7667,114.6,64.81,88,75,12.66,broken clouds
98,Taoudenni,ML,2022-05-24 00:39:48,22.6783,-3.9836,91.69,11,0,8.7,clear sky
99,Mandalay,MM,2022-05-24 00:39:49,21.9747,96.0836,81.9,74,84,6.15,broken clouds
100,Clyde River,CA,2022-05-24 00:39:49,70.4692,-68.5914,14.23,57,20,11.5,few clouds
101,Karratha,AU,2022-05-24 00:39:49,-20.7377,116.8463,75.63,55,22,12.08,few clouds
102,Haines Junction,CA,2022-05-24 00:35:43,60.7522,-137.5108,57.15,35,100,10.36,overcast clouds
103,Port Elizabeth,ZA,2022-05-24 00:39:50,-33.918,25.5701,52.09,100,0,4.61,clear sky
104,Chokurdakh,RU,2022-05-24 00:33:22,70.6333,147.9167,34.02,100,100,6.64,overcast clouds
105,Murindo,CO,2022-05-24 00:39:50,6.9848,-76.7544,75.04,96,100,3.09,overcast clouds
106,Luderitz,NA,2022-05-24 00:39:51,-26.6481,15.1594,62.6,52,69,4.61,broken clouds
107,Tecoanapa,MX,2022-05-24 00:39:51,16.5167,-98.75,82.13,74,96,6.64,overcast clouds
108,Pevek,RU,2022-05-24 00:34:39,69.7008,170.3133,37.81,86,99,8.12,overcast clouds
109,Seoul,KR,2022-05-24 00:38:48,37.5683,126.9778,71.2,56,75,3.44,broken clouds
110,Morehead,US,2022-05-24 00:39:51,37.2711,-87.1764,62.35,67,100,3.44,overcast clouds
111,Ust-Kuyga,RU,2022-05-24 00:39:52,70.0167,135.6,36.23,97,100,1.32,overcast clouds
112,Arraial Do Cabo,BR,2022-05-24 00:34:35,-22.9661,-42.0278,58.96,94,0,2.3,clear sky
113,Nikolskoye,RU,2022-05-24 00:36:43,59.7035,30.7861,42.69,73,100,3.62,overcast clouds
114,Salisbury,GB,2022-05-24 00:39:52,51.0693,-1.7957,51.69,92,75,6.91,light intensity drizzle
115,Guerrero Negro,MX,2022-05-24 00:38:07,27.9769,-114.0611,64.24,67,0,14.65,clear sky
116,Nome,US,2022-05-24 00:39:52,64.5011,-165.4064,61.16,50,0,5.75,clear sky
117,Walvis Bay,NA,2022-05-24 00:39:53,-22.9575,14.5053,59.95,36,0,4.61,clear sky
118,Kisangani,CD,2022-05-24 00:39:53,0.5167,25.2,68.9,98,100,2.8,light rain
119,Poum,NC,2022-05-24 00:39:53,-20.2333,164.0167,77.31,74,100,13.0,overcast clouds
120,Novo Aripuana,BR,2022-05-24 00:39:54,-5.1206,-60.3797,77.88,72,91,1.54,overcast clouds
121,Thinadhoo,MV,2022-05-24 00:39:54,0.5333,72.9333,83.5,73,45,11.27,scattered clouds
122,Puerto Escondido,MX,2022-05-24 00:32:33,15.85,-97.0667,85.03,70,0,3.44,clear sky
123,Bozeman,US,2022-05-24 00:39:54,45.6796,-111.0386,57.69,34,20,4.61,few clouds
124,Fairbanks,US,2022-05-24 00:31:40,64.8378,-147.7164,61.61,28,20,10.36,few clouds
125,Severo-Kurilsk,RU,2022-05-24 00:36:50,50.6789,156.125,41.61,96,100,16.75,overcast clouds
126,Carutapera,BR,2022-05-24 00:39:55,-1.195,-46.02,74.53,93,66,3.85,broken clouds
127,Iqaluit,CA,2022-05-24 00:35:55,63.7506,-68.5145,20.93,67,75,9.22,broken clouds
128,Saint George,US,2022-05-24 00:32:05,37.1041,-113.5841,82.99,9,0,13.8,clear sky
129,Beringovskiy,RU,2022-05-24 00:37:53,63.05,179.3167,39.69,77,100,5.32,overcast clouds
130,Hami,CN,2022-05-24 00:39:45,42.8,93.45,89.69,11,91,17.0,overcast clouds
131,Upernavik,GL,2022-05-24 00:35:44,72.7868,-56.1549,31.19,98,100,8.93,light snow
132,Luganville,VU,2022-05-24 00:39:56,-15.5333,167.1667,83.1,73,98,7.11,overcast clouds
133,San Antonio,US,2022-05-24 00:38:20,29.4241,-98.4936,77.68,80,20,13.8,few clouds
134,Saint Cloud,US,2022-05-24 00:39:56,45.5608,-94.1625,64.38,32,75,11.5,broken clouds
135,Antofagasta,CL,2022-05-24 00:39:56,-23.65,-70.4,58.28,85,47,2.57,scattered clouds
136,Brae,GB,2022-05-24 00:39:57,60.3964,-1.353,48.34,89,100,8.55,overcast clouds
137,Tchibanga,GA,2022-05-24 00:39:57,-2.85,11.0333,65.64,97,96,0.81,overcast clouds
138,Port Lincoln,AU,2022-05-24 00:39:57,-34.7333,135.8667,64.49,61,100,19.89,overcast clouds
139,Rawson,AR,2022-05-24 00:40:58,-43.3002,-65.1023,50.0,49,86,14.92,overcast clouds
140,Choya,RU,2022-05-24 00:40:58,52.0108,86.5467,56.26,60,82,1.7,broken clouds
141,Pangai,TO,2022-05-24 00:40:58,-19.8,-174.35,82.51,74,20,8.05,few clouds
142,Boca Do Acre,BR,2022-05-24 00:40:59,-8.7522,-67.3978,77.95,72,99,1.54,overcast clouds
143,Zeya,RU,2022-05-24 00:40:59,53.75,127.2667,53.65,60,96,9.62,overcast clouds
144,Ishigaki,JP,2022-05-24 00:40:59,24.3448,124.1572,78.93,89,75,3.44,broken clouds
145,Tiksi,RU,2022-05-24 00:34:33,71.6872,128.8694,31.77,99,100,4.63,light snow
146,Fort Nelson,CA,2022-05-24 00:37:32,58.8053,-122.7002,60.39,41,75,8.05,broken clouds
147,San Quintin,MX,2022-05-24 00:41:00,30.4833,-115.95,61.93,73,0,8.1,clear sky
148,Salvador,SV,2022-05-24 00:41:00,13.8333,-88.9167,77.4,94,100,2.98,overcast clouds
149,Bowen,AU,2022-05-24 00:41:00,-20.0167,148.2333,73.33,69,0,6.24,clear sky
150,Progreso,MX,2022-05-24 00:37:41,21.2833,-89.6667,89.71,76,98,15.93,overcast clouds
151,Nanortalik,GL,2022-05-24 00:35:43,60.1432,-45.2371,34.03,89,51,20.22,broken clouds
152,Petropavlovsk-Kamchatskiy,RU,2022-05-24 00:36:55,53.0452,158.6483,45.19,93,75,6.71,broken clouds
153,Bredasdorp,ZA,2022-05-24 00:35:46,-34.5322,20.0403,56.01,77,100,7.61,overcast clouds
154,Biltine,TD,2022-05-24 00:41:01,14.5333,20.9167,82.06,12,27,7.54,scattered clouds
155,Salalah,OM,2022-05-24 00:29:28,17.0151,54.0924,84.29,84,75,6.91,broken clouds
156,Deputatskiy,RU,2022-05-24 00:38:12,69.3,139.9,37.0,87,17,3.76,few clouds
157,Paris,FR,2022-05-24 00:39:27,48.8534,2.3488,56.77,92,75,9.22,broken clouds
