City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Ornes,NO,2022-05-22 14:32:15,66.8689,13.7078,50.29,84,100,1.86
123,Hermanus,ZA,2022-05-22 14:26:14,-34.4187,19.2345,65.8,69,25,12.28
124,Saskylakh,RU,2022-05-22 14:28:42,71.9167,114.0833,34.48,100,100,3.74
125,Vila Velha,BR,2022-05-22 14:31:59,-20.3297,-40.2925,76.95,61,75,9.22
126,Provideniya,RU,2022-05-22 14:23:09,64.3833,-173.3,43.88,59,100,10.36
127,Aksu,CN,2022-05-22 14:32:15,41.1231,80.2644,79.36,22,100,10.76
128,Ambon,ID,2022-05-22 14:32:16,-3.6954,128.1814,77.14,88,40,3.44
129,Comodoro Rivadavia,AR,2022-05-22 14:27:25,-45.8667,-67.5,44.46,49,0,12.66
130,Tuktoyaktuk,CA,2022-05-22 14:26:13,69.4541,-133.0374,26.04,74,30,7.52
131,Tungor,RU,2022-05-22 14:32:16,53.3808,142.9564,31.84,96,100,14.0
132,Pevek,RU,2022-05-22 14:26:16,69.7008,170.3133,33.75,86,28,10.6
133,Benin,BJ,2022-05-22 14:32:17,9.5,2.25,85.91,51,100,4.21
134,Xining,CN,2022-05-22 14:33:17,36.6167,101.7667,53.46,67,65,3.62
135,Moose Factory,CA,2022-05-22 14:33:17,51.2585,-80.6094,42.8,65,100,3.44
136,Luxor,EG,2022-05-22 14:33:17,25.6989,32.6421,91.45,17,0,11.5
137,Parabel,RU,2022-05-22 14:33:18,58.6978,81.4825,68.13,54,98,16.31
138,Port-Gentil,GA,2022-05-22 14:33:18,-0.7193,8.7815,82.36,74,40,14.97
139,Kayerkan,RU,2022-05-22 14:33:18,69.3497,87.7602,33.53,100,100,3.18
140,Ancud,CL,2022-05-22 14:32:34,-41.8697,-73.8203,47.75,72,97,10.76
141,Hambantota,LK,2022-05-22 14:33:19,6.1241,81.1185,82.74,89,20,8.05
142,Esperance,AU,2022-05-22 14:33:19,-33.8667,121.9,65.7,71,14,13.2
143,Sao Lourenco Do Sul,BR,2022-05-22 14:33:19,-31.3653,-51.9783,61.32,65,100,4.25
144,Hobyo,SO,2022-05-22 14:33:19,5.3505,48.5268,81.86,78,94,25.93
145,Lishan,CN,2022-05-22 14:33:20,31.8576,113.2951,67.41,81,24,2.59
146,Aksarka,RU,2022-05-22 14:33:20,66.5606,67.7975,34.2,88,100,24.87
147,Constitucion,CL,2022-05-22 14:27:26,-35.3333,-72.4167,55.81,67,100,7.14
148,Rio Gallegos,AR,2022-05-22 14:33:20,-51.6226,-69.2181,32.05,80,0,13.8
149,Tigzirt,DZ,2022-05-22 14:33:21,36.8886,4.1198,84.99,41,6,8.99
150,Tabou,CI,2022-05-22 14:27:21,4.423,-7.3528,79.9,70,99,9.24
151,San Vicente,AR,2022-05-22 14:33:21,-26.6167,-54.1333,65.59,44,88,2.62
152,Broken Hill,AU,2022-05-22 14:27:27,-31.95,141.4333,56.68,77,38,8.34
153,Saint-Philippe,RE,2022-05-22 14:33:21,-21.3585,55.7679,76.59,78,43,12.3
154,Nanortalik,GL,2022-05-22 14:33:22,60.1432,-45.2371,37.49,97,100,17.72
155,Clyde River,CA,2022-05-22 14:33:22,70.4692,-68.5914,19.63,86,100,29.93
156,Kamenka,RU,2022-05-22 14:33:22,51.3223,42.7678,45.97,95,100,13.49
157,Half Moon Bay,US,2022-05-22 14:33:23,37.4636,-122.4286,61.88,82,100,11.5
158,Rocha,UY,2022-05-22 14:33:23,-34.4833,-54.3333,63.86,52,0,2.46
159,Sola,VU,2022-05-22 14:28:37,-13.8833,167.55,80.96,75,19,2.01
160,Mar Del Plata,AR,2022-05-22 14:24:18,-38.0023,-57.5575,55.94,76,75,9.22
161,Obihiro,JP,2022-05-22 14:33:23,42.9172,143.2044,54.28,92,100,1.25
162,Colomi,BO,2022-05-22 14:33:23,-17.35,-65.8667,57.07,48,28,2.53
163,Taihe,CN,2022-05-22 14:33:24,30.8712,105.3845,69.46,76,76,4.74
164,Kondol,RU,2022-05-22 14:33:24,52.8189,45.058,56.26,75,100,8.48
165,Quatre Cocos,MU,2022-05-22 14:33:24,-20.2078,57.7625,75.31,75,20,15.46
166,Khipro,PK,2022-05-22 14:33:25,25.8285,69.3772,98.06,30,0,24.47
167,Pemba,MZ,2022-05-22 14:33:25,-12.974,40.5178,81.3,78,20,10.36
168,Port Blair,IN,2022-05-22 14:33:25,11.6667,92.75,84.24,84,75,12.66
169,Longyearbyen,SJ,2022-05-22 14:29:16,78.2186,15.6401,37.24,75,75,9.22
170,College,US,2022-05-22 14:30:12,64.8569,-147.8028,50.07,60,40,10.36
171,Cockburn Town,TC,2022-05-22 14:31:49,21.4612,-71.1419,79.5,78,59,18.97
172,Acajutla,SV,2022-05-22 14:33:26,13.5928,-89.8275,83.61,67,94,5.68
173,Havelock,US,2022-05-22 14:33:26,34.8791,-76.9013,78.98,79,100,14.97
174,Byron Bay,AU,2022-05-22 14:33:26,-28.65,153.6167,58.71,84,87,11.36
175,Saint-Joseph,RE,2022-05-22 14:33:26,-21.3667,55.6167,75.58,77,32,12.55
176,Batsfjord,NO,2022-05-22 14:33:27,70.6345,29.7185,44.53,87,75,16.11
177,Vanimo,PG,2022-05-22 14:33:27,-2.6741,141.3028,79.97,83,93,3.44
178,Pathein,MM,2022-05-22 14:33:27,16.7833,94.7333,82.18,82,96,8.63
179,Norfolk,US,2022-05-22 14:31:56,42.1668,-71.2495,92.3,60,0,6.91
180,Victor Harbor,AU,2022-05-22 14:34:28,-35.5667,138.6167,56.68,77,88,8.12
181,Bantry,IE,2022-05-22 14:34:28,51.6833,-9.45,58.78,68,72,16.73
182,San Patricio,US,2022-05-22 14:34:28,28.017,-97.5169,76.84,85,100,17.34
183,Noumea,NC,2022-05-22 14:30:04,-22.2763,166.4572,77.0,99,29,6.26
184,Qaanaaq,GL,2022-05-22 14:28:32,77.484,-69.3632,22.23,70,100,3.02
185,Yulara,AU,2022-05-22 14:34:28,-25.2406,130.9889,58.86,37,38,7.14
186,Eenhana,NA,2022-05-22 14:34:29,-17.4667,16.3333,77.36,11,0,3.18
187,Biswan,IN,2022-05-22 14:34:29,27.5,81.0,82.35,55,52,13.13
188,Dikson,RU,2022-05-22 14:26:16,73.5069,80.5464,29.01,88,100,8.66
189,Sterling,US,2022-05-22 14:34:29,39.0062,-77.4286,84.7,71,20,5.99
190,Cap Malheureux,MU,2022-05-22 14:34:30,-19.9842,57.6142,74.46,75,3,3.0
191,Orlik,RU,2022-05-22 14:34:30,52.5178,99.825,55.87,45,100,1.97
192,Iqaluit,CA,2022-05-22 14:29:54,63.7506,-68.5145,28.13,86,100,27.63
193,Portland,US,2022-05-22 14:31:35,45.5234,-122.6762,54.28,85,0,4.61
194,Bakchar,RU,2022-05-22 14:34:30,57.0186,82.0711,66.97,62,83,10.98
195,Seydi,TM,2022-05-22 14:34:31,39.4816,62.9137,74.39,22,2,5.44
196,Komsomolskiy,UZ,2022-05-22 14:27:28,40.4272,71.7189,59.72,55,40,6.91
197,Anadyr,RU,2022-05-22 14:34:31,64.75,177.4833,34.3,86,0,8.95
198,Tura,IN,2022-05-22 14:34:31,25.5198,90.2201,75.16,88,73,3.98
199,Karratha,AU,2022-05-22 14:34:32,-20.7377,116.8463,78.46,73,100,4.7
200,Hilo,US,2022-05-22 14:26:13,19.7297,-155.09,73.27,92,75,4.0
201,Laguna,US,2022-05-22 14:32:09,38.421,-121.4238,67.08,60,0,0.0
202,Tyumentsevo,RU,2022-05-22 14:34:32,53.3224,81.498,64.31,64,55,18.88
203,Touros,BR,2022-05-22 14:27:21,-5.1989,-35.4608,82.29,74,45,12.46
204,La Rioja,ES,2022-05-22 14:34:33,42.25,-2.5,83.98,24,100,14.83
205,Asau,RO,2022-05-22 14:34:33,46.4333,26.4,68.92,63,100,3.74
206,Coos Bay,US,2022-05-22 14:34:34,43.3665,-124.2179,50.99,93,100,5.75
207,Meulaboh,ID,2022-05-22 14:27:23,4.1363,96.1285,79.99,80,100,0.87
208,Saint George,US,2022-05-22 14:34:34,37.1041,-113.5841,64.8,19,0,1.01
209,Margate,GB,2022-05-22 14:28:42,51.3813,1.3862,63.7,65,21,1.01
210,Cacu,BR,2022-05-22 14:34:34,-18.5567,-51.1308,78.24,25,8,4.7
211,Georgetown,MY,2022-05-22 14:26:49,5.4112,100.3354,84.13,88,20,2.3
212,Albstadt,DE,2022-05-22 14:34:35,48.2164,9.026,73.02,39,100,6.35
213,Fairbanks,US,2022-05-22 14:32:05,64.8378,-147.7164,50.09,60,0,10.36
214,Castro,BR,2022-05-22 14:34:11,-24.7911,-50.0119,63.75,41,0,4.43
215,Chokurdakh,RU,2022-05-22 14:26:10,70.6333,147.9167,31.3,99,100,2.57
216,Pisco,PE,2022-05-22 14:34:35,-13.7,-76.2167,62.65,88,100,4.61
217,Banda Aceh,ID,2022-05-22 14:34:35,5.5577,95.3222,81.7,79,100,13.87
218,Odweyne,SO,2022-05-22 14:34:36,9.4092,45.064,91.74,15,100,11.81
219,Daru,PG,2022-05-22 14:34:36,-9.0763,143.2092,80.33,81,40,13.24
220,Panorama,GR,2022-05-22 14:34:36,40.5878,23.0315,85.28,32,40,8.05
221,La Paz,BO,2022-05-22 14:34:01,-16.5,-68.15,51.78,20,75,6.91
222,Viransehir,TR,2022-05-22 14:35:37,37.2353,39.7631,84.25,17,71,3.4
223,Upernavik,GL,2022-05-22 14:28:34,72.7868,-56.1549,34.0,79,100,4.09
224,Grand Forks,US,2022-05-22 14:35:37,47.9417,-97.4337,51.73,58,0,9.22
225,Labuhan,ID,2022-05-22 14:35:37,-6.8844,112.2051,80.96,80,97,11.74
226,Arman,RU,2022-05-22 14:35:37,59.7,150.1667,39.02,99,100,10.65
227,Fortuna,US,2022-05-22 14:35:38,40.5982,-124.1573,50.94,93,100,4.61
228,Port Elizabeth,ZA,2022-05-22 14:26:54,-33.918,25.5701,64.69,63,0,9.22
229,Poya,NC,2022-05-22 14:35:38,-21.35,165.15,73.18,90,54,5.1
230,Muli,MV,2022-05-22 14:35:38,2.9167,73.5667,83.73,77,94,13.2
231,San Jeronimo,PE,2022-05-22 14:35:39,-11.9472,-75.2829,56.75,58,93,2.95
232,Tallahassee,US,2022-05-22 14:33:07,30.4383,-84.2807,82.85,82,100,6.91
233,Turukhansk,RU,2022-05-22 14:35:39,65.8167,87.9833,60.39,58,97,3.18
234,Lavrentiya,RU,2022-05-22 14:35:39,65.5833,-171.0,36.25,68,100,8.75
235,Borogontsy,RU,2022-05-22 14:35:39,62.6683,131.1683,40.08,72,47,4.99
236,Newport,GB,2022-05-22 14:35:40,51.5877,-2.9984,69.08,66,90,6.96
237,Burlatskoye,RU,2022-05-22 14:35:40,45.0564,43.635,71.85,55,0,9.44
238,Paamiut,GL,2022-05-22 14:35:40,61.994,-49.6678,35.46,97,100,31.7
239,Buraydah,SA,2022-05-22 14:35:40,26.326,43.975,106.25,6,0,8.99
240,Fukue,JP,2022-05-22 14:35:41,32.6881,128.8419,68.34,79,100,8.52
241,Swellendam,ZA,2022-05-22 14:35:41,-34.0226,20.4417,67.62,40,29,3.0
242,Tiksi,RU,2022-05-22 14:23:00,71.6872,128.8694,30.69,88,100,5.95
243,Belmonte,BR,2022-05-22 14:35:41,-15.8631,-38.8828,79.18,58,14,11.32
244,Fuzhou,CN,2022-05-22 14:35:42,26.0614,119.3061,64.29,99,100,1.59
245,Mahanoro,MG,2022-05-22 14:35:42,-19.9,48.8,71.94,84,1,2.39
246,Bani Walid,LY,2022-05-22 14:35:42,31.7566,13.9942,90.64,5,0,3.47
247,Leopoldina,BR,2022-05-22 14:35:42,-21.5319,-42.6431,72.97,57,35,3.02
248,Hamilton,US,2022-05-22 14:26:16,39.1834,-84.5333,65.59,93,100,11.5
249,Taoudenni,ML,2022-05-22 14:35:43,22.6783,-3.9836,107.26,6,0,12.71
250,Araouane,ML,2022-05-22 14:35:43,18.9048,-3.5265,106.59,10,33,4.65
251,Vao,NC,2022-05-22 14:35:43,-22.6667,167.4833,74.07,88,57,14.32
252,Lucea,JM,2022-05-22 14:35:44,18.451,-78.1736,84.06,70,100,10.56
253,Katherine,AU,2022-05-22 14:35:44,-14.4667,132.2667,70.12,60,39,8.05
254,Hasaki,JP,2022-05-22 14:28:33,35.7333,140.8333,63.0,81,95,10.25
255,Fethiye,TR,2022-05-22 14:35:44,36.6217,29.1164,71.47,61,92,2.08
256,Mwinilunga,ZM,2022-05-22 14:35:44,-11.7358,24.4293,77.23,38,77,3.65
257,Zyryanka,RU,2022-05-22 14:35:45,65.75,150.85,47.91,58,100,9.6
258,Ryuo,JP,2022-05-22 14:35:45,35.65,138.5,56.91,93,16,0.2
259,Filingue,NE,2022-05-22 14:35:45,14.3521,3.3168,102.45,19,94,5.86
260,Gidole,ET,2022-05-22 14:35:46,5.65,37.3667,65.25,69,92,3.94
261,Stranda,NO,2022-05-22 14:35:46,62.3096,6.9358,61.45,52,91,6.26
262,Coahuayana,MX,2022-05-22 14:35:46,18.7333,-103.6833,80.1,66,75,1.12
263,Srednekolymsk,RU,2022-05-22 14:35:47,67.45,153.6833,48.02,58,100,8.03
264,Ramos Arizpe,MX,2022-05-22 14:31:26,25.55,-100.9667,77.13,45,40,9.22
265,Chenghai,CN,2022-05-22 14:35:47,23.4632,116.768,73.31,83,75,6.71
266,Nouadhibou,MR,2022-05-22 14:26:12,20.931,-17.0347,71.58,73,2,23.02
267,Sokolo,ML,2022-05-22 14:36:48,14.7328,-6.1219,102.27,19,100,10.85
268,Hami,CN,2022-05-22 14:36:48,42.8,93.45,83.84,11,100,8.88
269,Oranjemund,NA,2022-05-22 14:36:48,-28.55,16.4333,60.91,63,2,11.43
270,Bay Roberts,CA,2022-05-22 14:36:49,47.5999,-53.2648,62.35,50,45,7.0
271,Zhigansk,RU,2022-05-22 14:36:49,66.7697,123.3711,36.39,87,47,6.49
272,Ust-Barguzin,RU,2022-05-22 14:36:49,53.45,108.9833,44.64,88,99,2.89
273,Adrar,MR,2022-05-22 14:36:49,20.5022,-10.0711,107.37,6,2,7.38
274,Kupang,ID,2022-05-22 14:36:50,-10.1667,123.5833,78.67,77,8,10.2
275,High Rock,BS,2022-05-22 14:36:50,26.6208,-78.2833,82.42,78,84,16.33
276,Argostolion,GR,2022-05-22 14:36:50,38.1811,20.489,75.27,69,0,14.97
277,Okhotsk,RU,2022-05-22 14:32:11,59.3833,143.3,32.94,99,100,13.87
278,Sabha,LY,2022-05-22 14:28:42,27.0377,14.4283,89.55,7,0,6.17
279,Bethel,US,2022-05-22 14:24:25,41.3712,-73.414,86.36,72,0,9.22
280,Oytal,KZ,2022-05-22 14:36:55,42.9057,73.2697,52.41,82,100,3.58
281,Husavik,IS,2022-05-22 14:36:55,66.0449,-17.3389,38.25,95,100,10.85
282,Leningradskiy,RU,2022-05-22 14:28:41,69.3833,178.4167,29.3,97,100,8.41
283,Nishihara,JP,2022-05-22 14:36:55,26.1842,127.7558,74.48,78,40,8.05
284,Ixtapa,MX,2022-05-22 14:36:55,20.7,-105.2,78.22,73,100,4.61
285,Mandera,KE,2022-05-22 14:36:56,3.9366,41.867,92.01,38,99,17.49
286,Douglas,US,2022-05-22 14:36:56,41.3,-96.167,56.86,54,0,6.91
287,Aliwal North,ZA,2022-05-22 14:36:56,-30.6937,26.7114,57.15,62,91,3.51
288,Satuk,TR,2022-05-22 14:36:57,41.2263,32.3836,74.98,41,17,5.53
289,Piacabucu,BR,2022-05-22 14:36:59,-10.4056,-36.4344,82.69,60,20,13.6
290,Man,CI,2022-05-22 14:36:59,7.4125,-7.5538,84.4,61,94,3.4
291,Mehamn,NO,2022-05-22 14:37:00,71.0357,27.8492,44.51,83,88,4.88
292,Hvide Sande,DK,2022-05-22 14:37:00,56.0045,8.1294,64.09,73,32,8.88
293,Soroti,UG,2022-05-22 14:37:00,1.7146,33.6111,77.22,64,83,6.42
294,Sao Mateus,BR,2022-05-22 14:37:01,-18.7161,-39.8589,76.71,59,34,6.93
295,Aykhal,RU,2022-05-22 14:37:01,66.0,111.5,50.56,63,99,4.18
